"Program","xPONENT","","MAGPIX"
"Build","4.3.309.1"
"Date","01/01/2026","12:00 PM"

"SN","MAGPX00000000"
"Batch","EXAMPLE01-MP0000-GK00-P01-12PLXMPXVSERUMTS"
"Version","1"
"Operator","EXAMPLE"
"ComputerName","DESKTOP-EXAMPLE"
"Country Code","7F"
"ProtocolName","TetracoreFIA 12-Plex MPXV HIgG Test"
"ProtocolVersion","1.1"
"ProtocolDescription","Mpox HIgG Antibody test"
"ProtocolDevelopingCompany","Tetracore Inc."
"SampleWash","Off"
"SampleVolume","50 uL"
"BatchStartTime","1/1/2026 1:00:00 PM"
"BatchStopTime","1/1/2026 1:00:00 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Griener Black microclear 96 well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","12"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/31/2025 10:00:00"
"Last VER Verification","Passed 12/31/2025 10:00:00"
"Last Fluidics Test","Passed 12/31/2025 10:00:00"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C00000","12/31/2025","12/31/2025 10:00:00 AM","30.3","30.3","30.3","30.3","230","227","345","345","0.007","0.00696","0.00387","0.11501","Pass","MAGPX00000000"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","01 MVA Ag","02 VACV A33R","03 MPXV A35R","04 MPXV B6R","05 MPXV A27","06 MPXV E8L","07 MPXV H3L","08 MPXV M1R","09 NC","10 ScG","11 FC","12 IC","Total Events"
"72(1,H9)","EX016 S1","248","3941","8774","10216","26944.5","5989.5","1684.5","71","44","17481","2980","2328","1584"
"73(1,A10)","EX016 S2","330","5762","9314","7416","22397","7221","3403","99","43","17591","2951","2333.5","1688"
"74(1,B10)","EX016 S3","404","10537","11909.5","7300","19180.5","6585","2839","191","46","17588.5","3041.5","2354","1522"
"75(1,C10)","EX017 S1","108.5","5574","3530","3237.5","13369.5","485","1732","232","40","17928","2879","2349","1588"
"76(1,D10)","EX017 S2","642","11590","8884","5540","16595.5","14602","13499","977.5","60","17929","2889","2402","1558"
"77(1,E10)","EX017 S3","716","12684","11125","6804.5","13185","13146","13547.5","1874","53","17823","2912","2407","1408"
"78(1,F10)","EX017 S4","1489.5","24059","20791","16932","7977","13142","15954","4166","92","17917.5","3436","2514","1596"
"79(1,G10)","EX017 S5","1556.5","21239","17895","14488","7458.5","12881","19195.5","3797","108","17762","3423","2518","1672"
"80(1,H10)","EX017 S6","660.5","8626","7429","5748","3219","6413.5","8174","725","65","17450","3094","2382","1605"
"81(1,A11)","EX017 S7","726","9046","8198","5847","2724","8822","9142","774","60","17421.5","2990","2353","1161"
"82(1,B11)","EX018 S1","93.5","349.5","35.5","1152.5","390","65","83","76","62.5","17606","3097","2338.5","1671"
"83(1,C11)","EX018 S2","103","345","36","1127","431","63","84","71.5","75","17472.5","3143","2328","1588"
"84(1,D11)","EX018 S3","87.5","388","31","1015.5","427","70","77.5","67.5","70","17618","3188","2326","1545"
"85(1,E11)","EX018 S4","74","289","29","824.5","318","50","65.5","49","54","17222","3008","2370","1504"
"86(1,F11)","EX018 S5","58","191.5","21","715","276","44","65","41","44","17263","2897","2328.5","1534"
"87(1,G11)","EX019 S1","174.5","5340","4901","3539","12215","5463","1558","261.5","50.5","17605","2968","2333","1571"
"88(1,H11)","EX020 S1","113","5781","256.5","54","504","64","153","117","84.5","17541","3117.5","2690","1457"
"89(1,A12)","EX020 S3","164.5","6038.5","294","79","639.5","78.5","237","161","141","18075","3496.5","2827","1694"
"90(1,B12)","EX021 S1","76","29","14","24","91","15","49.5","36","4703","17473","2697","2344","1446"
